Year,Action,Adventure,Fighting,Misc,Platform,Puzzle,Racing,RolePlaying,Shooter,Simulation,Sports,Strategy,TOTAL
2016,5,1,3,0,1,0,1,2,3,0,4,0,20
2015,8,2,2,2,1,0,1,7,7,0,5,0,35
2014,16,0,0,0,3,1,2,6,9,1,7,0,45
2013,16,2,4,4,5,0,1,7,4,1,7,2,53
2012,32,0,0,1,1,0,3,10,7,1,7,0,62
2011,19,1,6,7,7,0,4,4,15,2,3,3,71
2010,22,0,4,3,2,1,7,9,9,4,10,1,72
2009,17,4,7,16,2,2,4,4,4,2,15,2,79
2008,26,4,6,13,8,3,7,7,13,11,16,2,116
2007,18,4,7,10,3,1,4,4,11,11,16,0,89
2006,10,4,5,7,2,1,14,3,7,4,8,0,65
2005,12,1,2,6,3,0,8,6,10,5,13,1,67
2004,11,0,2,6,10,2,8,5,11,2,14,1,72
2003,13,0,4,5,10,1,13,5,4,2,14,2,73
2002,10,0,1,0,9,1,6,8,8,1,14,1,59
2001,5,1,2,1,1,2,6,5,1,3,9,1,37
2000,7,0,2,2,2,1,5,2,1,0,12,2,36
1999,6,4,3,5,2,0,5,3,2,2,6,3,41
1998,2,0,7,4,3,2,9,3,3,2,13,2,50
1997,2,0,4,3,3,3,3,4,1,4,9,0,36
1996,2,0,3,1,1,0,6,4,1,4,6,0,28
1995,1,0,0,0,0,0,5,2,0,0,2,0,10
1994,1,0,4,0,2,0,0,0,0,1,2,0,10
1993,1,0,2,0,4,2,0,2,0,0,0,0,11
1992,0,0,1,0,1,3,0,1,0,0,0,0,6
1991,1,1,0,0,2,1,1,1,1,0,1,0,9
1990,1,0,0,0,2,1,0,1,0,1,1,0,7
1989,0,0,0,1,1,0,0,2,1,0,1,0,6
1988,1,0,0,0,2,0,0,1,0,0,1,0,5
1987,0,0,0,0,1,0,0,1,0,0,1,0,3
1986,3,0,0,0,5,0,0,0,3,0,0,0,11
1985,0,0,1,0,2,2,0,0,1,0,0,0,6
1984,0,0,0,1,0,2,1,0,2,0,0,0,6
1983,0,0,0,0,4,0,0,0,0,0,0,0,4
1982,0,0,0,0,3,1,1,0,1,0,0,0,6
1981,1,0,0,0,2,1,0,0,5,0,0,0,9
1980,0,0,0,2,0,0,0,0,0,0,0,0,2
