Year,Action,Adventure,Fighting,Misc,Platform,Puzzle,Racing,RolePlaying,Shooter,Simulation,Sports,Strategy,TOTAL
2016,21,6,0,9,1,0,4,2,6,1,5,3,58
2015,26,9,3,2,2,0,4,12,0,2,3,3,66
2014,11,8,1,0,0,2,2,9,2,0,0,2,37
2013,10,6,1,3,1,0,1,2,6,2,2,0,34
2012,18,7,2,3,1,1,3,6,3,0,4,0,48
2011,6,20,2,13,5,6,1,8,5,6,12,5,89
2010,4,22,5,17,2,4,6,7,9,9,10,4,99
2009,17,16,4,17,0,12,6,11,5,10,10,11,119
2008,12,22,3,20,4,6,3,8,6,7,6,2,99
2007,17,8,5,9,4,9,6,6,8,8,11,12,103
2006,21,12,8,16,4,7,10,7,3,5,13,8,114
2005,12,3,2,11,3,2,3,6,7,1,4,4,58
2004,10,5,1,4,2,4,6,4,6,3,7,3,55
2003,9,0,3,4,9,2,8,5,5,2,9,5,61
2002,6,1,5,3,5,4,9,6,6,2,17,1,65
2001,6,2,1,1,3,4,2,1,3,3,6,2,34
2000,0,0,1,2,2,1,1,1,1,3,2,0,14
1999,3,2,2,1,0,3,4,1,0,0,5,4,25
1998,2,0,2,1,2,0,1,1,2,0,4,5,20
1997,1,0,1,1,1,0,0,0,2,1,2,1,10
1996,1,3,2,2,0,0,0,1,3,0,4,0,16
1995,0,2,0,5,2,3,2,1,4,2,1,0,22
1994,0,0,2,3,1,0,0,0,0,0,2,0,8
1993,0,0,0,1,1,0,0,2,0,0,1,0,5
1992,0,0,0,0,1,0,0,0,0,0,0,0,1
1991,0,0,0,0,0,0,0,1,0,0,0,0,1
1990,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,0,0,0,0,0,0,0,0,0,0,0,0,0
