Year,Action,Adventure,Fighting,Misc,Platform,Puzzle,Racing,RolePlaying,Shooter,Simulation,Sports,Strategy,TOTAL
2016,7,2,1,0,1,0,2,8,5,1,4,0,31
2015,9,1,3,7,0,0,0,3,4,4,4,0,35
2014,8,0,2,4,1,0,2,2,5,1,5,2,32
2013,13,2,0,3,4,0,1,4,5,2,5,2,41
2012,23,0,4,3,0,0,3,3,7,2,2,1,48
2011,17,1,7,16,1,1,1,8,9,2,12,4,79
2010,25,3,5,15,1,0,2,7,4,3,20,3,88
2009,38,7,8,27,1,3,9,6,7,12,17,3,138
2008,15,4,5,16,10,0,8,6,3,12,24,2,105
2007,25,2,1,7,6,5,6,6,6,7,13,11,95
2006,13,1,4,3,6,1,3,12,6,5,9,0,63
2005,17,4,8,9,5,2,3,2,10,5,13,3,81
2004,12,3,2,10,8,0,4,3,4,5,10,2,63
2003,17,4,3,10,9,0,2,4,4,3,16,1,73
2002,13,8,4,2,5,0,3,3,6,2,11,1,58
2001,5,3,1,1,4,1,9,5,1,6,10,1,47
2000,3,2,3,1,1,2,2,3,3,2,9,2,33
1999,4,1,1,1,1,0,6,3,1,4,13,0,35
1998,7,1,1,1,3,2,9,0,1,0,5,0,30
1997,2,1,5,1,2,2,4,3,3,4,4,4,35
1996,3,3,1,2,1,2,2,1,0,1,4,1,21
1995,2,0,6,1,0,2,0,3,2,0,1,1,18
1994,0,0,2,0,1,0,0,3,2,1,6,1,16
1993,1,0,1,0,0,0,1,1,0,0,0,0,4
1992,0,0,1,0,0,0,0,0,0,0,0,0,1
1991,1,0,1,0,0,2,0,1,0,0,2,1,8
1990,0,0,0,0,0,0,0,0,0,0,1,0,1
1989,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,0,0,0,0,0,0,0,0,1,0,0,0,1
1985,0,0,0,0,0,1,0,0,0,0,0,0,1
1984,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,2,1,0,0,0,0,0,0,0,0,0,0,3
1982,5,0,0,0,0,0,1,0,0,0,0,0,6
1981,8,0,0,0,0,0,0,0,1,0,0,0,9
1980,1,0,0,0,0,0,0,0,0,0,0,0,1
