Year,Action,Adventure,Fighting,Misc,Platform,Puzzle,Racing,RolePlaying,Shooter,Simulation,Sports,Strategy,TOTAL
2016,17,2,3,3,5,0,3,3,4,3,3,2,48
2015,29,4,2,2,3,1,1,8,1,0,8,1,60
2014,19,12,3,3,0,1,5,12,0,0,4,0,59
2013,10,3,2,5,6,2,0,8,6,2,3,2,49
2012,19,5,1,0,1,1,4,9,2,2,6,1,51
2011,41,14,10,29,5,7,7,7,8,8,14,8,158
2010,17,10,5,33,4,9,5,8,6,7,26,3,133
2009,31,20,5,35,6,6,7,9,10,23,27,2,181
2008,16,15,7,24,7,10,9,7,7,10,18,11,141
2007,22,8,9,18,2,8,4,14,7,7,18,7,124
2006,20,8,4,11,10,3,10,11,5,3,11,5,101
2005,26,7,5,9,12,8,7,11,9,4,19,4,121
2004,12,4,5,10,7,2,9,5,14,4,7,6,85
2003,15,1,5,5,6,0,15,5,8,2,11,4,77
2002,14,2,8,6,6,3,15,2,16,3,24,3,102
2001,2,2,0,2,2,0,4,9,3,1,5,5,35
2000,3,4,3,3,4,1,7,2,3,2,6,1,39
1999,3,2,6,1,1,1,3,2,0,2,5,5,31
1998,6,6,1,3,0,2,6,3,4,1,6,7,45
1997,2,2,3,1,1,1,4,2,7,2,1,1,27
1996,1,2,3,3,2,2,1,1,2,2,3,1,23
1995,2,1,4,5,1,0,1,4,6,4,4,5,37
1994,0,0,2,0,1,0,0,5,1,1,1,0,11
1993,0,0,0,0,0,0,0,1,1,0,1,0,3
1992,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,0,0,0,1,0,0,0,0,0,0,0,0,1
1990,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,0,0,0,0,0,0,0,0,0,0,1,0,1
1986,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,0,0,0,0,0,0,0,0,0,0,0,0,0
