Year,Action,Adventure,Fighting,Misc,Platform,Puzzle,Racing,RolePlaying,Shooter,Simulation,Sports,Strategy,TOTAL
2016,41,23,3,11,2,0,5,15,6,5,8,0,119
2015,65,22,4,7,1,2,2,9,0,2,8,4,126
2014,15,17,0,7,0,1,3,11,4,2,3,1,64
2013,16,25,4,6,2,0,0,7,2,4,6,3,75
2012,46,22,1,6,1,4,2,7,2,1,1,4,97
2011,16,37,1,23,4,13,3,12,7,10,8,11,145
2010,19,57,4,24,1,7,7,16,7,17,15,11,185
2009,23,32,4,13,4,9,13,12,10,16,6,19,161
2008,18,41,5,18,3,9,12,10,11,18,13,13,171
2007,15,24,5,24,6,14,13,11,6,12,16,13,159
2006,30,19,5,21,4,8,9,20,13,17,0,16,162
2005,10,3,4,9,13,4,9,8,11,4,10,2,87
2004,9,4,1,1,2,5,4,5,14,3,4,4,56
2003,9,3,2,1,7,1,20,2,12,3,4,6,70
2002,9,6,1,3,7,2,12,6,3,1,20,4,74
2001,5,0,1,1,2,1,2,5,1,3,2,5,28
2000,1,1,0,0,0,1,1,0,2,1,0,2,9
1999,2,2,1,1,0,0,1,0,1,1,1,0,10
1998,2,3,1,1,1,1,2,2,2,0,2,6,23
1997,2,0,1,1,0,1,2,0,1,0,2,1,11
1996,3,3,1,3,1,1,0,2,4,0,2,0,20
1995,0,4,3,4,1,0,0,0,2,1,3,1,19
1994,2,0,2,1,0,1,0,2,0,0,2,0,10
1993,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,0,0,0,0,0,0,0,0,1,0,0,1,2
1991,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,0,0,0,0,0,0,0,0,0,1,0,0,1
1987,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,1,0,0,0,0,0,0,0,0,1,0,0,2
1984,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,25,0,0,0,3,2,1,0,10,1,4,0,46
1980,1,0,1,0,0,0,0,0,2,0,1,0,5
