Year,Action,Adventure,Fighting,Misc,Platform,Puzzle,Racing,RolePlaying,Shooter,Simulation,Sports,Strategy,TOTAL
2016,4,0,0,0,0,0,0,1,4,0,2,0,11
2015,13,1,1,3,1,1,0,4,1,0,4,1,30
2014,17,1,0,4,1,0,0,4,6,1,11,0,45
2013,6,1,2,2,6,0,1,5,6,0,3,0,32
2012,13,2,2,2,1,0,4,2,4,0,6,2,38
2011,19,2,5,7,1,0,7,9,8,3,7,1,69
2010,15,3,4,16,0,2,5,8,11,5,11,1,81
2009,16,2,7,13,5,4,8,10,14,5,14,3,101
2008,31,6,2,18,10,3,4,7,6,12,14,2,115
2007,26,5,0,9,5,4,10,5,4,8,12,1,89
2006,13,3,4,2,3,0,7,6,3,4,20,0,65
2005,15,1,6,5,3,3,9,6,10,1,11,1,71
2004,12,1,5,8,7,3,8,5,4,2,15,1,71
2003,10,0,5,6,5,0,6,2,5,5,13,3,60
2002,8,0,4,9,7,0,6,4,6,1,13,1,59
2001,8,1,3,4,3,0,6,3,7,0,9,2,46
2000,5,0,3,1,2,2,5,4,1,0,5,2,30
1999,8,1,2,4,1,0,4,4,2,2,8,3,39
1998,3,2,2,1,4,0,1,3,0,1,10,1,28
1997,1,0,0,0,0,1,2,3,2,0,9,2,20
1996,0,2,2,2,0,0,0,4,2,0,6,2,20
1995,2,0,1,1,0,2,0,3,1,3,2,1,16
1994,0,0,1,0,0,0,1,0,1,1,3,1,8
1993,0,0,1,0,3,1,0,0,0,0,2,1,8
1992,0,0,0,0,0,1,0,1,0,0,1,0,3
1991,0,1,0,0,1,0,0,0,0,0,0,0,2
1990,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,1,0,0,0,0,0,0,0,0,0,0,0,1
1988,0,0,0,0,0,0,0,0,1,0,0,0,1
1987,1,0,0,0,0,0,0,0,1,0,0,0,2
1986,1,0,0,0,0,0,0,0,0,0,0,0,1
1985,0,0,0,0,1,1,0,0,0,0,0,0,2
1984,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,2,0,0,0,0,0,0,0,1,0,0,0,3
1982,4,0,0,0,1,1,0,0,2,0,2,0,10
1981,3,0,0,0,0,1,1,0,0,1,0,0,6
1980,0,0,0,0,0,0,0,0,0,0,1,0,1
