Year,Action,Adventure,Fighting,Misc,Platform,Puzzle,Racing,RolePlaying,Shooter,Simulation,Sports,Strategy,TOTAL
2016,6,0,0,1,0,0,0,1,2,1,1,0,12
2015,10,3,0,4,0,0,2,5,2,0,3,0,29
2014,13,0,0,1,0,0,2,7,6,0,4,0,33
2013,7,0,0,1,1,1,2,1,6,0,6,1,26
2012,21,2,7,1,1,2,0,5,1,1,5,1,47
2011,6,1,2,4,2,0,5,5,8,4,6,0,43
2010,11,2,5,9,1,2,4,4,4,3,13,1,59
2009,20,4,2,7,1,3,5,3,8,3,13,1,70
2008,10,2,3,12,5,2,5,9,4,7,15,6,80
2007,14,0,1,10,2,1,5,8,9,7,12,0,69
2006,4,0,4,3,0,1,3,1,3,2,7,2,30
2005,13,2,2,3,8,0,2,5,6,1,7,0,49
2004,10,5,4,4,7,1,2,2,5,0,7,3,50
2003,6,0,4,0,2,1,2,4,6,4,5,1,35
2002,5,0,3,2,3,1,6,3,8,1,4,2,38
2001,2,0,3,3,4,0,4,1,2,0,7,2,28
2000,2,1,2,3,1,0,3,3,0,2,5,1,23
1999,2,0,3,0,3,1,4,5,1,2,1,0,22
1998,2,0,2,2,1,1,1,3,2,0,10,2,26
1997,3,1,2,1,0,0,4,0,0,2,3,1,17
1996,0,1,2,0,1,0,2,0,3,0,1,0,10
1995,0,0,2,0,1,0,0,2,0,0,1,0,6
1994,0,1,0,0,0,2,1,2,1,0,1,0,8
1993,0,0,1,0,0,0,0,1,0,0,2,0,4
1992,0,1,0,0,1,0,0,0,0,0,0,0,2
1991,0,0,0,0,0,1,0,1,0,0,0,0,2
1990,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,0,0,0,0,1,0,0,0,0,0,0,0,1
1988,0,0,0,0,0,0,0,1,0,0,0,0,1
1987,1,0,0,0,1,0,0,1,0,0,0,0,3
1986,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,0,0,0,0,1,1,0,0,0,0,0,0,2
1983,1,0,0,0,0,1,0,0,0,0,0,0,2
1982,1,0,0,1,1,0,0,0,2,0,0,0,5
1981,5,0,0,0,0,0,0,0,1,0,0,0,6
1980,0,0,1,0,0,0,0,0,0,0,0,0,1
