Year,Action,Adventure,Fighting,Misc,Platform,Puzzle,Racing,RolePlaying,Shooter,Simulation,Sports,Strategy,TOTAL
2016,13,3,1,1,1,0,2,5,4,1,7,2,40
2015,21,1,0,2,1,0,1,4,1,1,3,0,35
2014,12,3,4,4,1,0,0,5,1,1,5,0,36
2013,13,2,1,1,1,0,0,5,3,3,2,1,32
2012,21,1,2,2,3,0,1,6,4,1,2,0,43
2011,27,9,4,22,2,3,12,7,5,5,16,2,114
2010,29,5,0,18,1,2,3,18,5,7,16,7,111
2009,15,4,1,14,2,13,6,7,7,9,18,3,99
2008,14,8,3,16,4,10,6,11,10,7,21,1,111
2007,9,7,3,13,2,7,8,10,6,6,7,2,80
2006,19,3,4,6,8,4,5,4,4,2,14,1,74
2005,15,6,1,13,12,5,7,10,3,3,8,4,87
2004,5,5,7,9,6,1,7,6,5,0,7,0,58
2003,14,0,2,1,6,1,9,4,11,0,8,3,59
2002,10,4,11,2,5,0,11,3,5,2,21,2,76
2001,5,3,3,3,8,2,12,2,3,2,10,1,54
2000,1,2,2,0,2,0,3,2,1,2,8,1,24
1999,0,3,1,1,3,0,2,2,0,2,4,0,18
1998,5,3,3,0,3,1,4,4,1,0,2,4,30
1997,0,5,3,2,2,1,4,3,3,0,4,5,32
1996,0,1,4,1,0,2,1,2,0,1,6,1,19
1995,1,1,1,1,0,1,2,2,4,1,3,3,20
1994,0,0,4,0,0,0,0,2,0,0,0,1,7
1993,0,0,2,0,0,0,0,1,0,0,1,0,4
1992,0,1,0,0,0,0,0,0,2,0,0,0,3
1991,0,0,0,0,0,0,0,0,1,0,1,0,2
1990,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,0,0,0,0,0,1,0,0,0,0,0,0,1
1988,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,2,0,0,0,0,0,0,0,0,0,0,0,2
1981,0,0,0,0,0,0,0,0,0,0,1,0,1
1980,0,0,0,0,0,0,0,0,0,0,0,0,0
