Year,Action,Adventure,Fighting,Misc,Platform,Puzzle,Racing,RolePlaying,Shooter,Simulation,Sports,Strategy,TOTAL
2016,11,1,0,1,3,0,0,7,2,1,3,0,29
2015,17,1,1,2,0,0,2,3,3,3,4,2,38
2014,14,7,5,5,0,0,5,11,0,1,2,0,50
2013,16,0,2,5,2,0,0,12,5,2,5,3,52
2012,22,2,3,6,0,0,2,10,2,5,7,1,60
2011,34,4,3,21,4,1,11,9,8,5,15,4,119
2010,33,13,1,23,4,6,7,5,6,6,22,6,132
2009,36,13,4,19,2,7,6,11,6,14,19,7,144
2008,19,12,8,24,1,7,9,13,6,9,28,4,140
2007,21,6,3,9,2,2,3,6,6,1,16,4,79
2006,9,3,6,8,5,3,5,15,3,7,15,4,83
2005,28,3,3,16,8,0,9,2,11,2,15,5,102
2004,17,5,5,18,5,1,5,5,11,1,12,0,85
2003,15,2,5,9,11,1,4,5,6,2,16,6,82
2002,15,6,2,9,9,1,9,9,8,0,22,2,92
2001,5,5,1,2,2,1,9,3,5,1,17,0,51
2000,8,2,6,2,2,2,9,3,2,0,11,3,50
1999,4,2,1,4,2,0,8,2,3,0,5,3,34
1998,1,3,7,1,0,1,3,1,2,0,4,1,24
1997,4,2,3,1,1,3,0,2,1,0,5,1,23
1996,4,1,5,4,2,0,1,3,4,1,10,4,39
1995,0,0,4,1,0,1,1,2,2,1,4,1,17
1994,0,0,2,0,0,0,2,0,2,1,0,1,8
1993,1,0,0,1,0,0,0,0,0,1,2,1,6
1992,0,1,0,0,1,0,0,0,0,0,1,0,3
1991,0,0,0,0,0,0,0,0,0,1,1,2,4
1990,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,1,0,0,0,0,0,0,0,0,0,0,0,1
1982,2,0,0,0,0,0,0,0,0,0,0,0,2
1981,3,0,0,0,0,0,0,0,1,0,2,0,6
1980,0,0,0,0,0,0,0,0,0,0,0,0,0
