Year,Action,Adventure,Fighting,Misc,Platform,Puzzle,Racing,RolePlaying,Shooter,Simulation,Sports,Strategy,TOTAL
2016,9,3,4,3,1,0,2,5,0,0,1,1,29
2015,17,4,1,4,0,1,0,9,1,0,6,1,44
2014,20,6,3,2,0,1,1,14,0,2,2,3,54
2013,6,4,2,4,0,0,2,7,1,1,2,2,31
2012,13,6,3,1,0,0,1,7,4,2,2,0,39
2011,12,6,4,12,3,6,7,6,2,6,7,4,75
2010,13,11,3,14,1,5,4,4,6,8,11,1,81
2009,11,7,4,15,2,5,6,3,5,12,9,6,85
2008,19,20,8,11,2,6,3,13,3,7,10,3,105
2007,4,4,7,9,3,5,2,15,7,3,9,7,75
2006,19,3,3,13,2,3,3,4,10,1,6,2,69
2005,12,5,4,15,6,2,6,7,8,3,7,3,78
2004,13,3,0,3,2,2,4,3,5,2,7,9,53
2003,11,2,2,5,8,0,4,1,0,3,4,5,45
2002,10,5,3,1,3,4,7,2,1,3,15,1,55
2001,5,1,0,2,3,0,3,2,4,2,3,0,25
2000,5,3,2,1,1,0,1,1,1,1,8,2,26
1999,1,2,0,0,0,0,2,1,0,0,2,0,8
1998,3,2,3,2,1,2,5,1,3,1,4,2,29
1997,4,2,1,0,2,1,3,0,3,1,0,0,17
1996,0,0,2,1,1,0,3,1,1,2,3,0,14
1995,0,4,2,1,1,2,1,0,5,1,1,0,18
1994,1,2,0,0,0,0,3,1,1,0,2,0,10
1993,3,1,1,1,1,0,0,0,0,0,0,0,7
1992,0,0,2,0,0,0,0,1,0,0,0,1,4
1991,1,0,0,0,0,0,0,0,0,0,1,0,2
1990,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,0,0,0,0,0,1,0,0,0,0,0,0,1
1988,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,0,0,0,0,0,0,0,0,0,0,1,0,1
1986,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,0,0,0,0,0,0,0,0,0,0,0,0,0
